year,location,plot,replicate,trt,crops,legume_inclusion,n_fertilizer,grain_yield,iwg_straw_yield,legume_biomass,plant_height,lodging_score,NO3_mean,NO3_full_mean,NO3_half_mean,NO3_zero_mean,vwc_50cm,vwc_100cm,LOI_OM_pct_0_6,LOI_OM_pct_18_30,LOI_OM_pct_6_18,NH4_N_ppm_0_6,NH4_N_ppm_18_30,NH4_N_ppm_6_18,NO3_N_ppm_0_6,NO3_N_ppm_18_30,NO3_N_ppm_6_18,TOC_pct_0_6,TOC_pct_18_30,TOC_pct_6_18
2014,Lamberton,2203,2,22,TLI,0,60,574,13596,,153,2,4.0294,4.0294,4.0294,4.0294,0.223540702,0.19248614,3.4,,,4,,1,1,1,1,,,
2015,Lamberton,2203,2,22,TLI,0,60,212.504,10864,,153,5,0.433111111,0.460888889,0.433111111,0.405333333,0.25707,0.227514821,,1.3,2.4,,3.02,3.02,,0.23,0.72,,2.325,0.875
2014,Lamberton,2213,2,23,TLI,0,120,542,15120,,130,2,0.4662,0.4662,0.4662,0.4662,0.206499474,0.203179298,3.5,,,4,,2,1.5,1,1,,,
2015,Lamberton,2213,2,23,TLI,0,120,267.786,8432,,135,5,2.228142857,2.235285714,2.228142857,2.221,0.164774583,0.1591692,4.2,1.6,3,11.28,3.82,3.28,10.5,0.31,0.99,2.144,1.2035,1.3005
2014,Lamberton,2218,2,25,TLI/leg,1,40,412,9538,65,144,2,0.084,0.084,0.084,0.084,0.198664561,0.183649123,3.8,,,4,,3,0.5,1,1,,,
2015,Lamberton,2218,2,25,TLI/leg,1,40,107.548,9320,209,149,4,0.869428571,0.883714286,0.869428571,0.855142857,0.204428298,0.224805714,4.2,1.6,2.9,7.53,4.37,3.83,10.12,0.73,0.68,1.94,0.649,1.238
2014,Lamberton,2223,2,21,TLI,0,0,268,8586,,136,2,0.7578,0.7578,0.7578,0.7578,,,3.8,,,4,,2,0.5,1,1,,,
2015,Lamberton,2223,2,21,TLI,0,0,81.48,4888,,137,1,1.392222222,1.403333333,1.392222222,1.381111111,,,4.2,1.8,3.1,5.08,4.13,3.55,6.88,0.45,1.62,2.122,0.585,1.2275
2014,Lamberton,2304,3,23,TLI,0,120,134,12192,,154,4,3.52,3.52,3.52,3.52,0.236622456,0.249505789,3.9,,,6,,1,1,1,1,,,
2015,Lamberton,2304,3,23,TLI,0,120,97.942,9132,,155,5,0.6015,0.6015,0.6015,0.6015,0.331628036,0.334289464,4.2,1.5,2.9,7.95,2.82,3.66,9.17,0.75,1.74,1.926,1.996,1.198
